Frequency [MHz],Tsky [K],Weight
50.012207,0,0
50.402832,0,0
50.793457,0,0
51.184082,4645.468619,1
51.574707,4556.501107,1
51.965332,4469.791669,1
52.355957,4385.322184,1
52.746582,4303.120393,1
53.137207,4223.017511,1
53.527832,4145.008691,1
53.918457,4068.957403,1
54.309082,3994.773488,1
54.699707,3922.60149,1
55.090332,3852.174856,1
55.480957,3783.443492,1
55.871582,3716.417642,1
56.262207,3651.042547,1
56.652832,3587.216399,1
57.043457,3525.004851,1
57.434082,3464.256396,1
57.824707,3404.863823,1
58.215332,3346.943716,1
58.605957,3290.36341,1
58.996582,3235.084007,1
59.387207,3181.09955,1
59.777832,3128.370951,1
60.168457,3076.862936,1
60.559082,3026.481795,1
60.949707,2977.255996,1
61.340332,2929.127336,1
61.730957,2882.0558,1
62.121582,2836.035966,1
62.512207,2791.017292,1
62.902832,2746.987689,1
63.293457,2703.875832,1
63.684082,2661.70429,1
64.074707,2620.398315,1
64.465332,2580.026868,1
64.855957,2540.522177,1
65.246582,2501.782901,1
65.637207,2463.901499,1
66.027832,2426.766741,1
66.418457,2390.411416,1
66.809082,2354.781015,1
67.199707,2319.909699,1
67.590332,2285.714192,1
67.980957,2252.198009,1
68.371582,2219.34485,1
68.762207,2187.18599,1
69.152832,2155.647776,1
69.543457,2124.735759,1
69.934082,2094.433467,1
70.324707,2064.693322,1
70.715332,2035.531531,1
71.105957,2006.964765,1
71.496582,1978.920551,1
71.887207,1951.475232,1
72.277832,1924.497743,1
72.668457,1898.055179,1
73.059082,1872.09643,1
73.449707,1846.636905,1
73.840332,1821.664936,1
74.230957,1797.14557,1
74.621582,1773.077015,1
75.012207,1749.499141,1
75.402832,1726.295212,1
75.793457,1703.525126,1
76.184082,1681.169433,1
76.574707,1659.186128,1
76.965332,1637.636999,1
77.355957,1616.471328,1
77.746582,1595.657721,1
78.137207,1575.213562,1
78.527832,1555.132449,1
78.918457,1535.411353,1
79.309082,1516.041978,1
79.699707,1496.986581,1
80.090332,1478.249926,1
80.480957,1459.842614,1
80.871582,1441.766056,1
81.262207,1423.96836,1
81.652832,1406.50339,1
82.043457,1389.349236,1
82.434082,1372.447029,1
82.824707,1355.856139,1
83.215332,1339.507293,1
83.605957,1323.446816,1
83.996582,1307.671868,1
84.387207,1292.127764,1
84.777832,1276.858721,1
85.168457,1261.84554,1
85.559082,1247.069482,1
85.949707,1232.523672,1
86.340332,1218.214991,1
86.730957,1204.156838,1
87.121582,1190.310488,1
87.512207,1176.707498,1
87.902832,1163.327069,1
88.293457,1150.133317,1
88.684082,1137.135192,1
89.074707,1124.3415,1
89.465332,1111.754139,1
89.855957,1099.340374,1
90.246582,1087.102879,1
90.637207,1075.10017,1
91.027832,1063.279552,1
91.418457,1051.615497,1
91.809082,1040.111418,1
92.199707,1028.771962,1
92.590332,1017.603993,1
92.980957,1006.596294,1
93.371582,995.808165,1
93.762207,985.174949,1
94.152832,974.665204,1
94.543457,964.32048,1
94.934082,954.156901,1
95.324707,944.063604,1
95.715332,934.137025,1
96.105957,924.437363,1
96.496582,914.778064,1
96.887207,905.294465,1
97.277832,895.920693,1
97.668457,886.692297,1
98.059082,877.642853,1
98.449707,868.701882,1
98.840332,859.822813,1
99.230957,0,0
99.621582,0,0
